Ingredient code,Ingredient description,ingredient_clean,taxon_clean,Similarity,Level.code,taxon.food.description
1001,"Butter, salted",butter salted,butter,0.755,81101,Butter
1002,"Butter, whipped, with salt",butter whipped salt,butter whipped,0.931,81107,Butter whipped
1003,"Butter oil, anhydrous",butter oil anhydrous,butter,0.472,81101,Butter
1004,"Cheese, blue",cheese blue,cheese,0.694,14,Cheeses
1005,"Cheese, brick",cheese brick,brick,0.731,14102,Brick
1006,"Cheese, brie",cheese brie,cheese,0.74,14,Cheeses
1007,"Cheese, camembert",cheese camembert,camembert brie,0.809,14103,Camembert or Brie
1009,"Cheese, cheddar",cheddar cheese,cheddar,0.86,141041,Cheddar
1011,"Cheese, colby",cheese colby,colby jack,0.634,141042,Colby or Colby Jack
1012,"Cheese, cottage, creamed, large or small curd",large small cottage creamed cheese curd,dry salted cottage cheese curd,0.669,14203,Cheese cottage dry or salted curd
1013,"Cheese, cottage, creamed, with fruit",creamed cheese cottage fruit,cheese cottage,0.784,142,Cottage cheeses
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",dry nonfat large small cottage uncreamed cheese curd,dry salted cottage cheese curd,0.632,14203,Cheese cottage dry or salted curd
1015,"Cheese, cottage, lowfat, 2% milkfat",lowfat milkfat cottage 2 cheese,lowfat cheese cottage,0.847,14204,Cheese cottage lowfat
1016,"Cheese, cottage, lowfat, 1% milkfat",lowfat milkfat cottage 1 cheese,lowfat cheese cottage,0.851,14204,Cheese cottage lowfat
1017,"Cheese, cream",cheese cream,cheese cream,1.0,143,Cream cheeses
1018,"Cheese, edam",edam cheese,edam,0.769,141051,Edam
1019,"Cheese, feta",feta cheese,feta,0.735,141044,Feta
1020,"Cheese, fontina",fontina cheese,fontina,0.841,141046,Fontina
1022,"Cheese, gouda",gouda cheese,gouda,0.839,141050,Gouda
1023,"Cheese, gruyere",gruyere cheese,gruyere,0.88,141052,Gruyere
1024,"Cheese, limburger",cheese limburger,limberger,0.608,141060,Limberger
1025,"Cheese, monterey",monterey cheese,monterey,0.852,141062,Monterey
1026,"Cheese, mozzarella, whole milk",milk whole cheese mozzarella,mozzarella,0.794,141070,Mozzarella
1027,"Cheese, mozzarella, whole milk, low moisture",milk moisture mozzarella whole low cheese,mozzarella,0.681,141070,Mozzarella
1028,"Cheese, mozzarella, part skim milk",milk part mozzarella skim cheese,mozzarella,0.746,141070,Mozzarella
1029,"Cheese, mozzarella, low moisture, part-skim",part moisture mozzarella skim low cheese,mozzarella,0.678,141070,Mozzarella
1030,"Cheese, muenster",muenster cheese,muenster,0.863,141072,Muenster
1032,"Cheese, parmesan, grated",parmesan grated cheese,parmesan,0.755,141080,Parmesan
1033,"Cheese, parmesan, hard",parmesan hard cheese,parmesan,0.759,141080,Parmesan
1035,"Cheese, provolone",provolone cheese,provolone,0.888,141084,Provolone
1036,"Cheese, ricotta, whole milk",ricotta milk whole cheese,ricotta cheese cottage,0.728,14201,Cottage cheese or Ricotta
1037,"Cheese, ricotta, part skim milk",milk part ricotta skim cheese,ricotta cheese cottage,0.655,14201,Cottage cheese or Ricotta
1038,"Cheese, romano",romano cheese,romano,0.786,141081,Romano
1040,"Cheese, swiss",cheese swiss,cheese swiss,1.0,14412,Cheese Swiss
1042,"Cheese, pasteurized process, American, fortified with vitamin D",fortified process vitamin american pasteurized cheese,american cheese,0.524,14410,Cheese American
1043,"Cheese, pasteurized process, pimento",pimento pasteurized cheese process,pimento cheese,0.636,14411,Cheese pimento
1044,"Cheese, pasteurized process, swiss",pasteurized cheese swiss process,cheese swiss,0.631,14412,Cheese Swiss
1046,"Cheese food, pasteurized process, American, vitamin D fortified",fortified process vitamin american pasteurized cheese,american cheese,0.524,14410,Cheese American
1048,"Cheese spread, pasteurized process, American",process american pasteurized cheese spread,processed cheese spread,0.666,144,Processed cheeses and cheese spreads
1049,"Cream, fluid, half and half",fluid half cream,half cream,0.787,1212,Cream half and half
1050,"Cream, fluid, light (coffee cream or table cream)",table coffee light cream fluid,light cream,0.602,1211,Cream light
1052,"Cream, fluid, light whipping",fluid whipping light cream,whipped cream light,0.727,1214,Cream whipped light
1053,"Cream, fluid, heavy whipping",fluid whipping heavy cream,heavy whipped cream,0.724,1215,Cream whipped heavy
1054,"Cream, whipped, cream topping, pressurized",topping whipped pressurized cream,whipped pressurized cream,0.903,1216,Cream whipped pressurized
1055,"Cream, sour, reduced fat, cultured",reduced sour fat cream cultured,reduced fat cream sour,0.815,1233,Sour cream reduced fat
1056,"Cream, sour, cultured",cream cultured sour,cream sour,0.666,123,Sour cream
1057,Eggnog,eggnog,eggnog,1.0,1153,Eggnog
1061,"Cheese, American, nonfat or fat free",nonfat free fat american cheese,american cheese,0.709,14410,Cheese American
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",hydrogenated substitute oil soy liquid cream protein vegetable,mainly substitute cereal meat protein,0.57,59,Meat substitutes mainly cereal protein
1069,"Cream substitute, powdered",powdered cream substitute,powdered cream substitute,1.0,1223,Cream substitutes powdered
1073,"Dessert topping, semi solid, frozen",topping semi dessert frozen solid,dessert milk frozen,0.627,131,Milk desserts frozen
1074,"Sour cream, imitation, cultured",imitation cream cultured sour,imitation cream sour,0.819,1234,Sour cream imitation
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",milk added whole vitamin milkfat 325,fluid milk whole,0.457,1111,Milk fluid whole
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",milk added reduced vitamin fat milkfat 2 fluid,fluid milk nonfat,0.568,1114,Milk fluid nonfat
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",milk added lowfat vitamin milkfat fluid 1,fluid milk nonfat,0.577,1114,Milk fluid nonfat
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",milk added nonfat free vitamin fat skim fluid,fluid milk nonfat,0.727,1114,Milk fluid nonfat
1088,"Milk, buttermilk, fluid, cultured, lowfat",milk lowfat buttermilk cultured fluid,buttermilk,0.66,1117,Buttermilk
1089,"Milk, low sodium, fluid",fluid milk sodium low,fluid milk whole,0.645,1111,Milk fluid whole
1090,"Milk, dry, whole, with added vitamin D",milk dry added whole vitamin,fluid milk whole,0.473,1111,Milk fluid whole
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",milk dry nonfat regular without added vitamin,fluid milk nonfat,0.469,1114,Milk fluid nonfat
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",instant milk dry added nonfat vitamin,fluid milk nonfat,0.496,1114,Milk fluid nonfat
1094,"Milk, buttermilk, dried",dried milk buttermilk,buttermilk,0.874,1117,Buttermilk
1095,"Milk, canned, condensed, sweetened",condensed milk canned sweetened,condensed milk,0.747,1122,Milk condensed
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",milk added without evaporated vitamin canned,milk evaporated,0.702,1121,Milk evaporated
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",milk added nonfat evaporated vitamin canned,milk evaporated,0.695,1121,Milk evaporated
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",commercial milk added whole vitamin fluid chocolate,fluid milk whole,0.605,1111,Milk fluid whole
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",commercial milk added reduced vitamin fat fluid chocolate,milk chocolate white,0.48,91705,Milk or white chocolate
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",milk added lowfat vitamin chocolate,milk chocolate white,0.582,91705,Milk or white chocolate
1106,"Milk, goat, fluid, with added vitamin D",milk goat added vitamin fluid,milk goat,0.588,116,Milk goat
1107,"Milk, human, mature, fluid",mature milk human fluid,milk human,0.75,110,Milk human
1111,"Milk, averaged fat, with added vitamin A and D",milk added vitamin fat averaged,fruit high drink vitamin juice flavored c,0.408,9253,Fruit juice drinks and fruit flavored drinks with high vitamin C
1113,"Whey, acid, dried",dried acid whey,dry acid whey,0.823,1183,Whey acid dry
1115,"Whey, sweet, dried",dried whey sweet,dry whey sweet,0.822,1182,Whey sweet dry
1116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",milk ounce per yogurt whole plain protein gram 8,plain yogurt,0.596,1141,Yogurt plain
1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",ounce 12 per yogurt plain fat protein low 8 gram,plain yogurt,0.598,1141,Yogurt plain
1118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",milk 13 per ounce yogurt plain skim protein 8 gram,plain yogurt,0.552,1141,Yogurt plain
1123,"Egg, whole, raw, fresh",raw whole fresh egg,whole white egg,0.646,3110,Egg whole or white
1124,"Egg, white, raw, fresh",raw fresh white egg,whole white egg,0.66,3110,Egg whole or white
1125,"Egg, yolk, raw, fresh",fresh raw yolk egg,yolk egg,0.808,3111,Egg yolk only
1128,"Egg, whole, cooked, fried",whole cooked fried egg,whole white egg,0.588,3110,Egg whole or white
1129,"Egg, whole, cooked, hard-boiled",boiled egg whole cooked hard,whole white egg,0.523,3110,Egg whole or white
1131,"Egg, whole, cooked, poached",poached whole cooked egg,noodle whole cooked wheat,0.494,56113,Noodles cooked whole wheat
1132,"Egg, whole, cooked, scrambled",scrambled whole cooked egg,scrambled omelet egg,0.725,3213,Egg omelet or scrambled
1133,"Egg, whole, dried",dried whole egg,whole white egg,0.674,3110,Egg whole or white
1138,"Egg, duck, whole, fresh, raw",egg whole duck fresh raw,whole white egg,0.564,3110,Egg whole or white
1139,"Egg, goose, whole, fresh, raw",egg whole goose fresh raw,goose,0.654,2431,Goose
1140,"Egg, quail, whole, fresh, raw",egg whole fresh quail raw,whole white egg,0.516,3110,Egg whole or white
1145,"Butter, without salt",butter without salt,butter,0.678,81101,Butter
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",milk added nonfat without free vitamin fat skim fluid,fluid milk nonfat,0.682,1114,Milk fluid nonfat
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",milk dry added nonfat regular vitamin,fluid milk nonfat,0.503,1114,Milk fluid nonfat
1156,"Cheese, goat, hard type",hard type cheese goat,type cheese,0.712,140,Cheese NS as to type
1157,"Cheese, goat, semisoft type",type semisoft cheese goat,type cheese,0.581,140,Cheese NS as to type
1159,"Cheese, goat, soft type",type soft cheese goat,type cheese,0.689,140,Cheese NS as to type
1164,"Cheese sauce, prepared from recipe",recipe prepared sauce from cheese,based cheese sauce,0.511,1465,Cheese based sauce
1165,"Cheese, mexican, queso anejo",queso mexican cheese anejo,queso cheese,0.616,1413,Queso cheeses
1166,"Cheese, mexican, queso asadero",queso mexican asadero cheese,queso cheese,0.654,1413,Queso cheeses
1167,"Cheese, mexican, queso chihuahua",queso mexican chihuahua cheese,queso cheese,0.495,1413,Queso cheeses
1169,"Cheese, low-sodium, cheddar or colby",cheddar colby sodium low cheese,reduced cheddar sodium,0.663,1411,Cheddar reduced sodium
1174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",milk added without reduced vitamin fat milkfat 2 fluid,fluid milk nonfat,0.541,1114,Milk fluid nonfat
1178,"Sour cream, reduced fat",reduced fat cream sour,reduced fat cream sour,1.0,1233,Sour cream reduced fat
1179,"Sour cream, light",light cream sour,light cream,0.866,1211,Cream light
1180,"Sour cream, fat free",fat free cream sour,cream sour,0.801,123,Sour cream
1185,"Parmesan cheese topping, fat free",parmesan topping free fat cheese,topping dip cheese,0.643,1462,Cheese dip or topping
1186,"Cheese, cream, fat free",free fat cheese cream,cheese cream,0.843,143,Cream cheeses
1199,"Cream, half and half, fat free",half fat free cream,half cream,0.857,1212,Cream half and half
1205,"Cream substitute, flavored, liquid",flavored cream liquid substitute,cream substitute,0.736,12,Creams and cream substitutes
1206,"Cream substitute, flavored, powdered",flavored powdered cream substitute,powdered cream substitute,0.88,1223,Cream substitutes powdered
1208,"Cheese, provolone, reduced fat",reduced fat provolone cheese,provolone,0.751,141084,Provolone
1209,"Cheese, Mexican, blend, reduced fat",mexican blend reduced fat cheese,mexican cheese blend,0.864,1412,Cheese Mexican blend
1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",milk added without whole vitamin milkfat 325,fluid milk whole,0.45,1111,Milk fluid whole
1212,"Milk, dry, whole, without added vitamin D",milk dry added without whole vitamin,fluid milk whole,0.445,1111,Milk fluid whole
1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",fortified process reduced product vitamin fat american pasteurized cheese,processed cheese,0.477,1441,Cheese processed
1223,"Protein supplement, milk based, Muscle Milk, powder",milk muscle powder based protein supplement,gelatin supplement meal gelatinbased,0.441,284,Gelatin and gelatinbased meal supplements
1224,"Protein supplement, milk based, Muscle Milk Light, powder",milk muscle powder based light protein supplement,gelatin supplement meal gelatinbased,0.43,284,Gelatin and gelatinbased meal supplements
1225,Dulce de Leche,de dulce leche,cheese,0.2,14,Cheeses
1226,"Egg substitute, liquid or frozen, fat free",substitute egg free liquid frozen fat,substitute egg,0.718,33,Egg substitutes
1228,"Cheese, fresh, queso fresco",queso fresco cheese fresh,queso cheese,0.732,1413,Queso cheeses
1230,"Milk, buttermilk, fluid, whole",fluid milk buttermilk whole,fluid milk whole,0.807,1111,Milk fluid whole
1235,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",milk nonfat sweetener yogurt flavor frozen low calorie chocolate,flavored yogurt frozen,0.623,1146,Yogurt frozen flavored
1236,"Ice cream, soft serve, chocolate",serve soft ice cream chocolate,pie chocolate cream,0.662,53342,Pie chocolate cream
1237,"Ice cream, bar or stick, chocolate covered",stick covered bar ice cream chocolate,pie chocolate cream,0.654,53342,Pie chocolate cream
1238,Ice cream sandwich,sandwich ice cream,sandwich beef,0.735,2751,Beef sandwiches
1239,Ice cream cookie sandwich,sandwich ice cream cookie,sandwich cookie,0.885,53209,Cookie sandwich
1240,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",nut flavor cone covered ice cream other chocolate than,chololate other flavored,0.605,1151,Chololate or other flavored
1241,"Ice cream sandwich, made with light ice cream, vanilla",sandwich light made ice cream vanilla,vanilla sandwich cookie,0.686,53243,Cookie vanilla sandwich
1242,"Ice cream sandwich, vanilla, light, no sugar added",sandwich added light sugar ice cream vanilla,vanilla sandwich cookie,0.635,53243,Cookie vanilla sandwich
1243,"Fat free ice cream, no sugar added, flavors other than chocolate",added free flavor fat sugar ice cream other chocolate than,chololate other flavored,0.59,1151,Chololate or other flavored
1244,"Milk dessert bar, frozen, made from lowfat milk",milk lowfat dessert frozen made bar from,dessert milk frozen,0.76,131,Milk desserts frozen
1250,"Nutritional supplement for people with diabetes, liquid",nutritional liquid diabetes people for supplement,nutrition drink,0.375,951,Nutrition drinks
1251,"Cheese, Mexican blend",mexican cheese blend,mexican cheese blend,1.0,1412,Cheese Mexican blend
1252,"Cheese product, pasteurized process, American, vitamin D fortified",fortified process product vitamin american pasteurized cheese,processed cheese,0.493,1441,Cheese processed
1253,"Cheese, pasteurized process, American, without added vitamin D",process added without vitamin american pasteurized cheese,american cheese,0.529,14410,Cheese American
1254,"Cheese food, pasteurized process, American, without added vitamin D",process added without vitamin american pasteurized cheese,american cheese,0.529,14410,Cheese American
1256,"Yogurt, Greek, plain, nonfat",plain yogurt greek nonfat,plain yogurt,0.707,1141,Yogurt plain
1259,"Cheese spread, American or Cheddar cheese base, reduced fat",reduced fat american base cheddar cheese spread,american cheese,0.643,14410,Cheese American
1260,"Cheese, cheddar, reduced fat",reduced fat cheddar cheese,reduced cheddar sodium,0.747,1411,Cheddar reduced sodium
1263,"Ice cream, light, soft serve, chocolate",serve soft light ice cream chocolate,light ice cream,0.635,1313,Light ice cream
1264,"Ice cream bar, stick or nugget, with crunch coating",nugget stick bar ice cream coating crunch,ice cream,0.445,1311,Ice cream
1265,"Cheese, cheddar, nonfat or fat free",nonfat free fat cheddar cheese,cheddar,0.623,141041,Cheddar
1266,"Cheese, Swiss, nonfat or fat free",nonfat free swiss fat cheese,cheese swiss,0.706,14412,Cheese Swiss
1267,"Cheese, mexican, queso cotija",queso mexican cheese cotija,queso cheese,0.601,1413,Queso cheeses
1284,"Yogurt, Greek, strawberry, lowfat",lowfat strawberry yogurt greek,strawberry,0.624,63223,Strawberries
1285,"Yogurt, Greek, strawberry, nonfat",strawberry yogurt greek nonfat,strawberry,0.623,63223,Strawberries
1286,"Yogurt, Greek, vanilla, nonfat",vanilla yogurt greek nonfat,yogurt vanilla,0.752,1142,Yogurt vanilla
1287,"Yogurt, Greek, plain, lowfat",plain yogurt lowfat greek,plain yogurt,0.701,1141,Yogurt plain
1289,"Kefir, lowfat, plain, LIFEWAY",lowfat plain kefir lifeway,lowfat cheese cottage,0.298,14204,Cheese cottage lowfat
1290,"Kefir, lowfat, strawberry, LIFEWAY",lowfat strawberry kefir lifeway,strawberry,0.533,63223,Strawberries
1292,"Milk, chocolate, fat free, with added vitamin A and vitamin D",milk added free vitamin fat chocolate,milk chocolate white,0.605,91705,Milk or white chocolate
1293,"Yogurt, Greek, plain, whole milk",milk yogurt whole plain greek,plain yogurt,0.702,1141,Yogurt plain
1294,"Yogurt, Greek, fruit, whole milk",fruit milk yogurt whole greek,yogurt,0.587,114,Yogurt
1297,"Yogurt, Greek, vanilla, lowfat",lowfat vanilla yogurt greek,yogurt vanilla,0.748,1142,Yogurt vanilla
1298,"Yogurt, frozen, flavors other than chocolate, lowfat",lowfat yogurt flavor frozen other chocolate than,flavored yogurt frozen,0.673,1146,Yogurt frozen flavored
1300,"Ice cream bar, covered with chocolate and nuts",nut covered bar ice cream chocolate,pie chocolate cream,0.682,53342,Pie chocolate cream
1301,Ice cream sundae cone,cone sundae ice cream,cake cone bar ice cream,0.522,1312,Ice cream bar cone cake
1302,"Light ice cream, Creamsicle",creamsicle light ice cream,light ice cream,0.73,1313,Light ice cream
1305,"Milk, chocolate, lowfat, reduced sugar",milk lowfat reduced sugar chocolate,milk chocolate white,0.549,91705,Milk or white chocolate
1306,"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",peanut added lowfat cone sugar ice cream sauce chocolate,pie chocolate cream,0.543,53342,Pie chocolate cream
2003,"Spices, basil, dried",dried basil spice,cake spice,0.445,53117,Cake spice
2005,"Spices, caraway seed",seed spice caraway,cake spice,0.463,53117,Cake spice
2007,"Spices, celery seed",seed celery spice,celery,0.721,75603,Celery
2009,"Spices, chili powder",powder chili spice,cake spice,0.453,53117,Cake spice
2010,"Spices, cinnamon, ground",spice cinnamon ground,bread cinnamon,0.673,51113,Bread cinnamon
2011,"Spices, cloves, ground",spice clove ground,ground lamb,0.436,2313,Lamb ground
2012,"Spices, coriander leaf, dried",dried coriander spice leaf,dried bean,0.429,411,Dried beans
2014,"Spices, cumin seed",seed cumin spice,cake spice,0.474,53117,Cake spice
2015,"Spices, curry powder",curry powder spice,cake spice,0.433,53117,Cake spice
2020,"Spices, garlic powder",powder garlic spice,roll garlic,0.592,51156,Roll garlic
2021,"Spices, ginger, ground",spice ginger ground,ground lamb,0.474,2313,Lamb ground
2023,"Spices, marjoram, dried",dried spice marjoram,cake spice,0.344,53117,Cake spice
2024,"Spices, mustard seed, ground",mustard spice seed ground,mustard green,0.586,72122,Mustard greens
2025,"Spices, nutmeg, ground",ground spice nutmeg,ground lamb,0.44,2313,Lamb ground
2026,"Spices, onion powder",onion powder spice,onion,0.605,75415,Onions
2027,"Spices, oregano, dried",dried spice oregano,cake spice,0.414,53117,Cake spice
2028,"Spices, paprika",paprika spice,cake spice,0.411,53117,Cake spice
2029,"Spices, parsley, dried",dried parsley spice,onion parsley palm heart,0.556,75221,Onions palm hearts or parsley
2030,"Spices, pepper, black",black spice pepper,pepper,0.715,75226,Peppers
2031,"Spices, pepper, red or cayenne",cayenne spice pepper red,pepper,0.58,75226,Peppers
2034,"Spices, poultry seasoning",poultry seasoning spice,poultry,0.583,24,Poultry
2035,"Spices, pumpkin pie spice",pumpkin pie spice,pumpkin,0.79,43101,Pumpkin
2038,"Spices, sage, ground",sage spice ground,ground lamb,0.525,2313,Lamb ground
2042,"Spices, thyme, dried",dried thyme spice,cake spice,0.392,53117,Cake spice
2043,"Spices, turmeric, ground",turmeric spice ground,ground lamb,0.428,2313,Lamb ground
2044,"Basil, fresh",basil fresh,tuna fresh,0.385,26153,Tuna fresh
2046,"Mustard, prepared, yellow",mustard prepared yellow,mustard green,0.563,72122,Mustard greens
2047,"Salt, table",table salt,table fat,0.67,811,Table fats
2048,"Vinegar, cider",vinegar cider,vinegar,0.802,644,Vinegar
2052,"Vanilla extract, imitation, no alcohol",imitation extract alcohol vanilla,imitation milk,0.53,1134,Milk imitation
2053,"Vinegar, distilled",distilled vinegar,vinegar,0.709,644,Vinegar
2054,"Capers, canned",caper canned,canned carrot,0.451,73103,Carrots canned
2055,"Horseradish, prepared",horseradish prepared,radish,0.564,75227,Radish
3000,Clif Z bar,z clif bar,bar,0.432,537,Bars
3001,"Babyfood, juice treats, fruit medley, toddler",fruit toddler medley juice babyfood treat,fruit juice baby,0.545,67,Fruits and juices baby food
3002,"Babyfood, meat, beef, strained",strained beef meat babyfood,baby beef,0.609,217,Beef baby food
3003,"Babyfood, meat, beef, junior",junior beef meat babyfood,baby beef,0.57,217,Beef baby food
3005,"Babyfood, meat, veal, strained",veal meat strained babyfood,veal baby lamb,0.492,234,Lamb or veal baby food
3008,"Babyfood, meat, ham, strained",ham meat strained babyfood,baby meat vegetable,0.401,766,Vegetables with meat baby food
3010,"Babyfood, meat, lamb, strained",strained meat babyfood lamb,veal baby lamb,0.566,234,Lamb or veal baby food
3012,"Babyfood, meat, chicken, strained",chicken meat strained babyfood,chicken,0.528,241,Chicken
3013,"Babyfood, meat, chicken, junior",chicken junior meat babyfood,chicken,0.501,241,Chicken
3014,"Babyfood, meat, chicken sticks, junior",stick junior chicken meat babyfood,chicken,0.555,241,Chicken
3015,"Babyfood, meat, turkey, strained",strained meat turkey babyfood,turkey,0.563,242,Turkey
3016,"Babyfood, meat, turkey, junior",junior meat turkey babyfood,turkey,0.538,242,Turkey
3017,"Babyfood, meat, turkey sticks, junior",turkey stick junior meat babyfood,turkey,0.508,242,Turkey
3019,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",fruit strip real graduate bar gerber babyfood snack,fruit baby cereal,0.495,673,Fruits with cereal baby food
3021,"Babyfood, meat, meat sticks, junior",stick junior meat babyfood,stick bread,0.398,51184,Bread sticks
3023,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",puff graduate finger gerber babyfood apple snack cinnamon,bread cinnamon,0.46,51113,Bread cinnamon
3024,"Babyfoods, water, bottled, GERBER, without added fluoride.",added without bottled water gerber babyfoods fluoride,water bottled,0.508,940,Water not bottled
3026,"Babyfood, tropical fruit medley",fruit medley babyfood tropical,fruit baby,0.484,67100,Fruit baby NFS
3044,"Babyfood, dinner, macaroni and tomato and beef, strained",macaroni dinner strained beef tomato babyfood,macaroni,0.545,5610,Macaroni
3045,"Babyfood, dinner, macaroni and tomato and beef, junior",macaroni dinner beef junior tomato babyfood,macaroni,0.557,5610,Macaroni
3046,"Babyfood, ravioli, cheese filled, with tomato sauce",filled ravioli tomato babyfood sauce cheese,ravioli,0.554,58131,Ravioli
3047,"Babyfood, dinner, beef noodle, strained",dinner strained beef noodle babyfood,noodle,0.571,5611,Noodles
3048,"Babyfood, macaroni and cheese, toddler",toddler macaroni cheese babyfood,noodle cheese macaroni,0.72,58145,Macaroni or noodles with cheese
3050,"Babyfood, dinner, spaghetti and tomato and meat, junior",spaghetti dinner junior meat tomato babyfood,spaghetti,0.591,5613,Spaghetti
3052,"Babyfood, dinner, beef stew, toddler",toddler dinner beef stew babyfood,baby beef,0.469,217,Beef baby food
3053,"Babyfood, dinner, vegetables and beef, strained",dinner strained beef babyfood vegetable,baby grain vegetable,0.671,765,Vegetables with grain baby food
3054,"Babyfood, dinner, vegetables and beef, junior",dinner junior beef babyfood vegetable,baby meat vegetable,0.583,766,Vegetables with meat baby food
3055,"Babyfood, dinner, beef with vegetables",dinner beef babyfood vegetable,baby meat vegetable,0.672,766,Vegetables with meat baby food
3068,"Babyfood, dinner, chicken noodle, strained",dinner strained chicken noodle babyfood,noodle,0.554,5611,Noodles
3069,"Babyfood, dinner, chicken noodle, junior",dinner junior chicken noodle babyfood,noodle,0.545,5611,Noodles
3070,"Babyfood, dinner, chicken soup, strained",soup dinner strained chicken babyfood,chicken,0.46,241,Chicken
3072,"Babyfood, dinner, chicken stew, toddler",toddler dinner chicken stew babyfood,chicken,0.422,241,Chicken
3073,"Babyfood, dinner, vegetables chicken, strained",dinner strained chicken babyfood vegetable,baby grain vegetable,0.638,765,Vegetables with grain baby food
3077,"Babyfood, dinner, pasta with vegetables",dinner pasta babyfood vegetable,baby meat vegetable,0.668,766,Vegetables with meat baby food
3082,"Babyfood, dinner, turkey and rice, strained",turkey rice dinner strained babyfood,turkey,0.491,242,Turkey
3083,"Babyfood, dinner, turkey and rice, junior",turkey rice dinner junior babyfood,turkey,0.481,242,Turkey
3084,"Babyfood, dinner, vegetables and turkey, strained",turkey dinner strained babyfood vegetable,baby grain vegetable,0.636,765,Vegetables with grain baby food
3085,"Babyfood, dinner, vegetables and turkey, junior",turkey dinner junior babyfood vegetable,baby meat vegetable,0.55,766,Vegetables with meat baby food
3089,"Babyfood, dinner, macaroni and cheese, strained",macaroni dinner strained babyfood cheese,noodle cheese macaroni,0.621,58145,Macaroni or noodles with cheese
3090,"Babyfood, dinner, macaroni and cheese, junior",macaroni dinner junior babyfood cheese,noodle cheese macaroni,0.617,58145,Macaroni or noodles with cheese
3091,"Babyfood, vegetables, green beans, strained",bean strained green babyfood vegetable,baby grain vegetable,0.728,765,Vegetables with grain baby food
3092,"Babyfood, vegetables, green beans, junior",bean junior green babyfood vegetable,baby grain vegetable,0.623,765,Vegetables with grain baby food
3093,"Babyfood, green beans, dices, toddler",toddler bean dice green babyfood,bean string green,0.399,75403,Beans string green
3096,"Babyfood, vegetable, green beans and potatoes",bean potato green babyfood vegetable,potato beef vegetable,0.73,2741,Beef with vegetable no potatoes
3098,"Babyfood, vegetables, beets, strained",strained beet babyfood vegetable,baby grain vegetable,0.745,765,Vegetables with grain baby food
3099,"Babyfood, vegetables, carrots, strained",strained carrot babyfood vegetable,baby grain vegetable,0.676,765,Vegetables with grain baby food
3100,"Babyfood, vegetables, carrots, junior",junior carrot babyfood vegetable,baby meat vegetable,0.582,766,Vegetables with meat baby food
3104,"Babyfood, vegetables, squash, strained",strained squash babyfood vegetable,squash vegetable,0.768,75316,Squash and vegetables
3105,"Babyfood, vegetables, squash, junior",junior squash babyfood vegetable,squash vegetable,0.734,75316,Squash and vegetables
3108,"Babyfood, vegetables, sweet potatoes strained",potato strained babyfood vegetable sweet,potato beef vegetable,0.685,2741,Beef with vegetable no potatoes
3109,"Babyfood, vegetables, sweet potatoes, junior",potato junior babyfood vegetable sweet,potato beef vegetable,0.657,2741,Beef with vegetable no potatoes
3112,"Babyfood, potatoes, toddler",potato toddler babyfood,potato bread,0.477,51127,Bread potato
3114,"Babyfood, vegetable, butternut squash and corn",corn squash babyfood vegetable butternut,squash vegetable,0.652,75316,Squash and vegetables
3115,"Babyfood, apples, dices, toddler",dice toddler apple babyfood,baby apple,0.559,67101,Apple baby food
3116,"Babyfood, fruit, applesauce, strained",fruit strained applesauce babyfood,fruit baby applesauce other,0.75,67104,Applesauce and other fruit baby food
3117,"Babyfood, fruit, applesauce, junior",fruit junior applesauce babyfood,fruit baby applesauce other,0.717,67104,Applesauce and other fruit baby food
3118,"Babyfood, fruit, apricot with tapioca, strained",fruit tapioca strained apricot babyfood,apricot,0.545,62104,Apricot
