Ingredient code,Ingredient description,ingredient_clean,taxon_clean,Similarity,Level.code,taxon.food.description
43282,"Quail, cooked, total edible",edible total cooked quail,cereal cooked,0.331,57,Cereals not cooked or NS as to cooked
43283,"Pheasant, cooked, total edible",pheasant total cooked edible,cooked other vegetable,0.33,752,Other vegetables cooked
43287,"Dove, cooked (includes squab)",dove includes cooked squab,squash,0.359,75233,Squash
43299,"Soybean, curd cheese",soybean cheese curd,soybean curd fried,0.796,41421,Soybean curd fried
43311,"Potatoes, canned, drained solids, no salt added",salt added potato drained solid canned,potato canned sweet,0.559,73407,Sweet potato canned
43312,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",lima corn pea bean salt added green carrot vegetable canned mixed,mixed vegetable,0.578,75311,Mixed vegetables
43331,"Salad dressing, bacon and tomato",bacon salad dressing tomato,salad dressing,0.727,83,Salad dressings
43344,"Jams, preserves, marmalade, reduced sugar",jam reduced marmalade preserve sugar,marmalade,0.608,91404,Marmalade
43345,"Fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",fruit high added powder drink vitamin flavored other low calorie c,fruit high drink vitamin juice flavored c,0.721,9253,Fruit juice drinks and fruit flavored drinks with high vitamin C
43346,"Frozen novelties, juice type, orange",orange type novelty frozen juice,fruit juice bar frozen,0.478,6342,Fruit juice bar frozen
43352,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",added lowfat milkfat cottage sodium 1 cheese,lowfat cheese cottage,0.735,14204,Cheese cottage lowfat
43365,"Tomato and vegetable juice, low sodium",juice tomato sodium low vegetable,tomato vegetable,0.726,74606,Tomato and vegetable
43366,"Turkey, wing, smoked, cooked, with skin, bone removed",smoked turkey cooked removed skin wing bone,wing turkey,0.508,24203,Turkey wing
