Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
13888,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",lean beef tip 18 roasted trimmed round cooked roast fat separable select,Veal roasted,veal roasted,0.474,2321,n,211
13892,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",lean beef braised 18 all top trimmed grade round cooked fat separable,Cereal grains not cooked,cooked grain cereal,0.404,576,n,211
13893,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",lean beef 18 all steak top trimmed grade broiled round cooked fat separable,Beef steak,steak beef,0.428,211,n,211
13912,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",lean beef 18 steak top trimmed loin fat grilled choice cooked short separable,Beef steak,steak beef,0.402,211,,
13928,"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",lean beef 18 roasted tenderloin trimmed prime cooked roast fat separable,Pork tenderloin,tenderloin pork,0.465,2221,n,21000
13933,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",lean beef 18 pan steak top trimmed choice fried sirloin cooked fat separable,Beef NS fried,beef fried,0.416,21003,n,21000
13959,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",lean beef boneless 0 all steak top trimmed grade grilled round cooked fat separable,Beef steak,steak beef,0.401,211,,
14003,"Alcoholic beverage, beer, regular, all",all beer alcoholic beverage regular,Alcoholic beverages,beverage alcoholic,0.816,93,n,931
14006,"Alcoholic beverage, beer, light",light beer beverage alcoholic,Alcoholic beverages,beverage alcoholic,0.853,93,n,931
14013,"Alcoholic beverage, beer, light, low carb",light beer carb low beverage alcoholic,Alcoholic beverages,beverage alcoholic,0.794,93,n,931
14016,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",vanilla sweetened ready flavor milk drink almond beverage,Flavored milk and milk drinks fluid,flavored drink fluid milk,0.52,115,n,1135
14021,"Beverages,  Energy drink, Citrus",energy drink citrus beverage,Energy drinks,drink energy,0.687,9531,n,953
14022,"Beverages, MONSTER energy drink, low carb",energy carb monster low drink beverage,Energy drinks,drink energy,0.645,9531,n,953
14026,"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12",zero vitamin cola b12 guarana energy company the coca beverage no drink sugar fortified b6 free,Formulated nutrition beverages energy drinks sports drinks function,formulated sport function energy drink beverage nutrition,0.423,95,n,9531
14028,"Beverages, Whiskey sour mix, bottled",mix whiskey bottled beverage sour,Water not bottled,water bottled,0.464,940,n,936
14030,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",citrus cola loaded cherry b12 grape energy original charged company the coca beverage no drink fortified b6 vitamin,Formulated nutrition beverages energy drinks sports drinks function,formulated sport function energy drink beverage nutrition,0.42,95,n,953
14031,"Beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories",yumberry pomegranate water zero bottled oxidant calorie beverage anti,Pomegranate,pomegranate,0.487,63145,n,9410
14033,"Beverages, ABBOTT, EAS whey protein powder",whey protein abbott powder beverage ea,Bread high protein,bread protein high,0.446,51123,n,9521
14034,"Alcoholic beverage, creme de menthe, 72 proof",72 de proof menthe beverage creme alcoholic,Alcoholic beverages,beverage alcoholic,0.668,93,n,932
14035,"Beverages, ABBOTT, EAS soy protein powder",protein abbott powder beverage soy ea,Bread high protein,bread protein high,0.447,51123,n,9521
14036,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",ready muscle milk cytosport drink beverage,Sports drinks,sport drink,0.46,9532,n,9511
14037,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",whiskey all 80 gin vodka distilled proof beverage rum alcoholic,Alcoholic beverages,beverage alcoholic,0.549,93,n,935
