Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
1001,"Butter, salted",salted butter,Butter,butter,0.755,81101,,
1002,"Butter, whipped, with salt",salt whipped butter,Butter whipped,whipped butter,0.931,81107,,
1003,"Butter oil, anhydrous",anhydrous oil butter,Butter,butter,0.472,81101,,
1004,"Cheese, blue",blue cheese,Cheeses,cheese,0.694,14,n,14101
1005,"Cheese, brick",brick cheese,Brick,brick,0.731,14102,,
1006,"Cheese, brie",cheese brie,Cheeses,cheese,0.74,14,n ,14103
1007,"Cheese, camembert",cheese camembert,Camembert or Brie,camembert brie,0.809,14103,,
1009,"Cheese, cheddar",cheese cheddar,Cheddar,cheddar,0.86,141041,,
1011,"Cheese, colby",colby cheese,Colby or Colby Jack,jack colby,0.634,141042,,
1012,"Cheese, cottage, creamed, large or small curd",creamed cottage small curd large cheese,Cheese cottage dry or salted curd,cottage curd dry salted cheese,0.669,14203,,
1013,"Cheese, cottage, creamed, with fruit",creamed cottage fruit cheese,Cottage cheeses,cottage cheese,0.784,142,n,14202
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",cottage uncreamed small nonfat curd dry large cheese,Cheese cottage dry or salted curd,cottage curd dry salted cheese,0.632,14203,,
1015,"Cheese, cottage, lowfat, 2% milkfat",cottage milkfat lowfat 2 cheese,Cheese cottage lowfat,cottage lowfat cheese,0.847,14204,,
1016,"Cheese, cottage, lowfat, 1% milkfat",cottage milkfat 1 lowfat cheese,Cheese cottage lowfat,cottage lowfat cheese,0.851,14204,,
1017,"Cheese, cream",cream cheese,Cream cheeses,cream cheese,1,143,,
1018,"Cheese, edam",edam cheese,Edam,edam,0.769,141051,,
1019,"Cheese, feta",cheese feta,Feta,feta,0.735,141044,,
1020,"Cheese, fontina",fontina cheese,Fontina,fontina,0.841,141046,,
1022,"Cheese, gouda",gouda cheese,Gouda,gouda,0.839,141050,,
1023,"Cheese, gruyere",gruyere cheese,Gruyere,gruyere,0.88,141052,,
1024,"Cheese, limburger",limburger cheese,Limberger,limberger,0.608,141060,,
1025,"Cheese, monterey",monterey cheese,Monterey,monterey,0.852,141062,,
1026,"Cheese, mozzarella, whole milk",whole mozzarella cheese milk,Mozzarella,mozzarella,0.794,141070,,
1027,"Cheese, mozzarella, whole milk, low moisture",mozzarella cheese moisture low milk whole,Mozzarella,mozzarella,0.681,141070,,
1028,"Cheese, mozzarella, part skim milk",mozzarella milk part cheese skim,Mozzarella,mozzarella,0.746,141070,,
1029,"Cheese, mozzarella, low moisture, part-skim",mozzarella moisture low part cheese skim,Mozzarella,mozzarella,0.678,141070,,
1030,"Cheese, muenster",muenster cheese,Muenster,muenster,0.863,141072,,
1032,"Cheese, parmesan, grated",parmesan grated cheese,Parmesan,parmesan,0.755,141080,,
1033,"Cheese, parmesan, hard",parmesan cheese hard,Parmesan,parmesan,0.759,141080,,
1035,"Cheese, provolone",provolone cheese,Provolone,provolone,0.888,141084,,
1036,"Cheese, ricotta, whole milk",ricotta milk whole cheese,Cottage cheese or Ricotta,ricotta cottage cheese,0.728,14201,,
1037,"Cheese, ricotta, part skim milk",ricotta milk part cheese skim,Cottage cheese or Ricotta,ricotta cottage cheese,0.655,14201,,
1038,"Cheese, romano",romano cheese,Romano,romano,0.786,141081,,
1040,"Cheese, swiss",swiss cheese,Cheese Swiss,swiss cheese,1,14412,,
1042,"Cheese, pasteurized process, American, fortified with vitamin D",process pasteurized american fortified vitamin cheese,Cheese American,cheese american,0.524,14410,,
1043,"Cheese, pasteurized process, pimento",pimento process pasteurized cheese,Cheese pimento,pimento cheese,0.636,14411,,
1044,"Cheese, pasteurized process, swiss",swiss process pasteurized cheese,Cheese Swiss,swiss cheese,0.631,14412,,
1046,"Cheese food, pasteurized process, American, vitamin D fortified",process pasteurized fortified american vitamin cheese,Cheese American,cheese american,0.524,14410,,
1048,"Cheese spread, pasteurized process, American",spread process pasteurized american cheese,Processed cheeses and cheese spreads,spread processed cheese,0.666,144,,
1049,"Cream, fluid, half and half",fluid cream half,Cream half and half,cream half,0.787,1212,,
1050,"Cream, fluid, light (coffee cream or table cream)",light cream fluid coffee table,Cream light,light cream,0.602,1211,,
1052,"Cream, fluid, light whipping",light fluid cream whipping,Cream whipped light,light cream whipped,0.727,1214,,
1053,"Cream, fluid, heavy whipping",fluid heavy cream whipping,Cream whipped heavy,heavy cream whipped,0.724,1215,,
1054,"Cream, whipped, cream topping, pressurized",pressurized cream whipped topping,Cream whipped pressurized,pressurized cream whipped,0.903,1216,,
1055,"Cream, sour, reduced fat, cultured",cream reduced cultured sour fat,Sour cream reduced fat,fat cream reduced sour,0.815,1233,,
1056,"Cream, sour, cultured",cultured cream sour,Sour cream,cream sour,0.666,123,,
1057,Eggnog,eggnog,Eggnog,eggnog,1,1153,,
1061,"Cheese, American, nonfat or fat free",nonfat american fat free cheese,Cheese American,cheese american,0.709,14410,,
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",cream hydrogenated oil protein liquid substitute soy vegetable,Meat substitutes mainly cereal protein,meat protein mainly substitute cereal,0.57,59,n,122
1069,"Cream substitute, powdered",powdered cream substitute,Cream substitutes powdered,powdered cream substitute,1,1223,,
1073,"Dessert topping, semi solid, frozen",dessert semi topping solid frozen,Milk desserts frozen,milk dessert frozen,0.627,131,,
1074,"Sour cream, imitation, cultured",imitation cultured cream sour,Sour cream imitation,imitation cream sour,0.819,1234,,
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",milkfat added milk 325 vitamin whole,Milk fluid whole,whole milk fluid,0.457,1111,,
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",reduced milkfat added fluid milk 2 fat vitamin,Milk fluid nonfat,nonfat milk fluid,0.568,1114,n,1112
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",milkfat 1 added milk lowfat fluid vitamin,Milk fluid nonfat,nonfat milk fluid,0.577,1114,n,1113
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",nonfat added milk fluid free fat vitamin skim,Milk fluid nonfat,nonfat milk fluid,0.727,1114,,
1088,"Milk, buttermilk, fluid, cultured, lowfat",buttermilk milk cultured lowfat fluid,Buttermilk,buttermilk,0.66,1117,,
1089,"Milk, low sodium, fluid",milk low sodium fluid,Milk fluid whole,whole milk fluid,0.645,1111,,
1090,"Milk, dry, whole, with added vitamin D",added milk dry vitamin whole,Milk fluid whole,whole milk fluid,0.473,1111,,
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",nonfat without milk added dry vitamin regular,Milk fluid nonfat,nonfat milk fluid,0.469,1114,n,1115
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",instant nonfat added milk dry vitamin,Milk fluid nonfat,nonfat milk fluid,0.496,1114,n,1115
1094,"Milk, buttermilk, dried",buttermilk milk dried,Buttermilk,buttermilk,0.874,1117,,
1095,"Milk, canned, condensed, sweetened",milk condensed canned sweetened,Milk condensed,milk condensed,0.747,1122,,
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",added evaporated milk without canned vitamin,Milk evaporated,evaporated milk,0.702,1121,,
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",nonfat evaporated milk added canned vitamin,Milk evaporated,evaporated milk,0.695,1121,,
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",added milk fluid commercial vitamin whole chocolate,Milk fluid whole,whole milk fluid,0.605,1111,n,1118
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",reduced added milk fluid commercial fat vitamin chocolate,Milk or white chocolate,milk white chocolate,0.48,91705,n,1118
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",added milk lowfat vitamin chocolate,Milk or white chocolate,milk white chocolate,0.582,91705,n,1118
1106,"Milk, goat, fluid, with added vitamin D",goat added milk fluid vitamin,Milk goat,milk goat,0.588,116,,
1107,"Milk, human, mature, fluid",fluid milk human mature,Milk human,milk human,0.75,110,,
1111,"Milk, averaged fat, with added vitamin A and D",averaged added milk fat vitamin,Fruit juice drinks and fruit flavored drinks with high vitamin C,high fruit c drink juice flavored vitamin,0.408,9253,n,1116
1113,"Whey, acid, dried",whey acid dried,Whey acid dry,whey acid dry,0.823,1183,,
1115,"Whey, sweet, dried",sweet whey dried,Whey sweet dry,sweet whey dry,0.822,1182,,
1116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",plain 8 gram yogurt protein milk ounce whole per,Yogurt plain,plain yogurt,0.596,1141,,
1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",plain 8 gram yogurt protein low 12 ounce fat per,Yogurt plain,plain yogurt,0.598,1141,,
1118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",plain 8 gram yogurt protein milk ounce 13 per skim,Yogurt plain,plain yogurt,0.552,1141,,
1123,"Egg, whole, raw, fresh",raw fresh egg whole,Egg whole or white,egg whole white,0.646,3110,,
1124,"Egg, white, raw, fresh",fresh egg raw white,Egg whole or white,egg whole white,0.66,3110,,
1125,"Egg, yolk, raw, fresh",fresh egg yolk raw,Egg yolk only,egg yolk,0.808,3111,,
1128,"Egg, whole, cooked, fried",cooked fried egg whole,Egg whole or white,egg whole white,0.588,3110,,
1129,"Egg, whole, cooked, hard-boiled",boiled hard egg cooked whole,Egg whole or white,egg whole white,0.523,3110,,
1131,"Egg, whole, cooked, poached",cooked egg whole poached,Noodles cooked whole wheat,cooked noodle whole wheat,0.494,56113,n,3213
1132,"Egg, whole, cooked, scrambled",cooked scrambled egg whole,Egg omelet or scrambled,omelet scrambled egg,0.725,3213,,
1133,"Egg, whole, dried",egg whole dried,Egg whole or white,egg whole white,0.674,3110,,
1138,"Egg, duck, whole, fresh, raw",duck raw egg fresh whole,Egg whole or white,egg whole white,0.564,3110,n,312
1139,"Egg, goose, whole, fresh, raw",raw goose egg fresh whole,Goose,goose,0.654,2431,n,312
1140,"Egg, quail, whole, fresh, raw",raw quail egg fresh whole,Egg whole or white,egg whole white,0.516,3110,n,312
1145,"Butter, without salt",without salt butter,Butter,butter,0.678,81101,,
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",nonfat added milk fluid without free fat vitamin skim,Milk fluid nonfat,nonfat milk fluid,0.682,1114,,
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",nonfat added milk dry vitamin regular,Milk fluid nonfat,nonfat milk fluid,0.503,1114,n,1115
1156,"Cheese, goat, hard type",type cheese hard goat,Cheese NS as to type,cheese type,0.712,140,n,141047
1157,"Cheese, goat, semisoft type",semisoft type cheese goat,Cheese NS as to type,cheese type,0.581,140,n,141047
1159,"Cheese, goat, soft type",type cheese soft goat,Cheese NS as to type,cheese type,0.689,140,n,141047
1164,"Cheese sauce, prepared from recipe",from sauce prepared recipe cheese,Cheese based sauce,sauce based cheese,0.511,1465,,
1165,"Cheese, mexican, queso anejo",mexican queso anejo cheese,Queso cheeses,queso cheese,0.616,1413,,
1166,"Cheese, mexican, queso asadero",mexican queso asadero cheese,Queso cheeses,queso cheese,0.654,1413,,
1167,"Cheese, mexican, queso chihuahua",mexican queso cheese chihuahua,Queso cheeses,queso cheese,0.495,1413,,
1169,"Cheese, low-sodium, cheddar or colby",colby sodium cheddar low cheese,Cheddar reduced sodium,sodium reduced cheddar,0.663,1411,,
1174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",reduced milkfat without added fluid milk 2 fat vitamin,Milk fluid nonfat,nonfat milk fluid,0.541,1114,n,1112
1178,"Sour cream, reduced fat",fat cream reduced sour,Sour cream reduced fat,fat cream reduced sour,1,1233,,
1179,"Sour cream, light",light cream sour,Cream light,light cream,0.866,1211,n,1233
1180,"Sour cream, fat free",fat free cream sour,Sour cream,cream sour,0.801,123,n,1233
1185,"Parmesan cheese topping, fat free",parmesan fat free cheese topping,Cheese dip or topping,dip cheese topping,0.643,1462,,
1186,"Cheese, cream, fat free",fat free cream cheese,Cream cheeses,cream cheese,0.843,143,,
1199,"Cream, half and half, fat free",fat free cream half,Cream half and half,cream half,0.857,1212,n,1211
1205,"Cream substitute, flavored, liquid",flavored cream liquid substitute,Creams and cream substitutes,cream substitute,0.736,12,n,1224
1206,"Cream substitute, flavored, powdered",powdered flavored cream substitute,Cream substitutes powdered,powdered cream substitute,0.88,1223,,
1208,"Cheese, provolone, reduced fat",fat provolone cheese reduced,Provolone,provolone,0.751,141084,,
1209,"Cheese, Mexican, blend, reduced fat",mexican reduced blend fat cheese,Cheese Mexican blend,mexican blend cheese,0.864,1412,,
1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",milkfat without added milk 325 vitamin whole,Milk fluid whole,whole milk fluid,0.45,1111,,
1212,"Milk, dry, whole, without added vitamin D",without added milk dry vitamin whole,Milk fluid whole,whole milk fluid,0.445,1111,n,1115
1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",reduced process fat pasteurized fortified american product vitamin cheese,Cheese processed,processed cheese,0.477,1441,,
1223,"Protein supplement, milk based, Muscle Milk, powder",supplement muscle protein milk powder based,Gelatin and gelatinbased meal supplements,meal gelatinbased gelatin supplement,0.441,284,n,9511
1224,"Protein supplement, milk based, Muscle Milk Light, powder",light supplement muscle protein milk powder based,Gelatin and gelatinbased meal supplements,meal gelatinbased gelatin supplement,0.43,284,n,9511
1225,Dulce de Leche,de dulce leche,Cheeses,cheese,0.2,14,n,1119
1226,"Egg substitute, liquid or frozen, fat free",egg liquid substitute fat free frozen,Egg substitutes,egg substitute,0.718,33,,
1228,"Cheese, fresh, queso fresco",queso fresh fresco cheese,Queso cheeses,queso cheese,0.732,1413,,
1230,"Milk, buttermilk, fluid, whole",buttermilk milk whole fluid,Milk fluid whole,whole milk fluid,0.807,1111,n,1117
1235,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",sweetener yogurt flavor nonfat milk low calorie frozen chocolate,Yogurt frozen flavored,flavored yogurt frozen,0.623,1146,,
1236,"Ice cream, soft serve, chocolate",cream ice soft serve chocolate,Pie chocolate cream,cream pie chocolate,0.662,53342,n,1311
1237,"Ice cream, bar or stick, chocolate covered",stick covered cream ice bar chocolate,Pie chocolate cream,cream pie chocolate,0.654,53342,n,1312
1238,Ice cream sandwich,ice cream sandwich,Beef sandwiches,beef sandwich,0.735,2751,n,1312
1239,Ice cream cookie sandwich,ice cookie cream sandwich,Cookie sandwich,cookie sandwich,0.885,53209,n,1312
1240,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",cone covered cream other ice flavor than nut chocolate,Chololate or other flavored,flavored chololate other,0.605,1151,n,1312
1241,"Ice cream sandwich, made with light ice cream, vanilla",light vanilla made cream sandwich ice,Cookie vanilla sandwich,vanilla cookie sandwich,0.686,53243,n,1312
1242,"Ice cream sandwich, vanilla, light, no sugar added",light vanilla cream sandwich ice added sugar,Cookie vanilla sandwich,vanilla cookie sandwich,0.635,53243,n,1312
1243,"Fat free ice cream, no sugar added, flavors other than chocolate",cream other ice flavor added than sugar fat free chocolate,Chololate or other flavored,flavored chololate other,0.59,1151,n,1313
1244,"Milk dessert bar, frozen, made from lowfat milk",made from bar milk lowfat dessert frozen,Milk desserts frozen,milk dessert frozen,0.76,131,n,1312
1250,"Nutritional supplement for people with diabetes, liquid",supplement diabetes nutritional liquid for people,Nutrition drinks,drink nutrition,0.375,951,n,9534
1251,"Cheese, Mexican blend",mexican blend cheese,Cheese Mexican blend,mexican blend cheese,1,1412,,
1252,"Cheese product, pasteurized process, American, vitamin D fortified",process pasteurized fortified american product vitamin cheese,Cheese processed,processed cheese,0.493,1441,,
1253,"Cheese, pasteurized process, American, without added vitamin D",process without added pasteurized american vitamin cheese,Cheese American,cheese american,0.529,14410,,
1254,"Cheese food, pasteurized process, American, without added vitamin D",process without added pasteurized american vitamin cheese,Cheese American,cheese american,0.529,14410,,
1256,"Yogurt, Greek, plain, nonfat",greek plain yogurt nonfat,Yogurt plain,plain yogurt,0.707,1141,n,1147
1259,"Cheese spread, American or Cheddar cheese base, reduced fat",reduced spread cheddar american fat cheese base,Cheese American,cheese american,0.643,14410,,
1260,"Cheese, cheddar, reduced fat",fat cheese reduced cheddar,Cheddar reduced sodium,sodium reduced cheddar,0.747,1411,n,141041
1263,"Ice cream, light, soft serve, chocolate",light cream ice soft serve chocolate,Light ice cream,light ice cream,0.635,1313,,
1264,"Ice cream bar, stick or nugget, with crunch coating",stick cream ice bar nugget coating crunch,Ice cream,ice cream,0.445,1311,n,1312
1265,"Cheese, cheddar, nonfat or fat free",cheddar nonfat fat free cheese,Cheddar,cheddar,0.623,141041,,
1266,"Cheese, Swiss, nonfat or fat free",swiss nonfat fat free cheese,Cheese Swiss,swiss cheese,0.706,14412,,
1267,"Cheese, mexican, queso cotija",mexican queso cheese cotija,Queso cheeses,queso cheese,0.601,1413,,
1284,"Yogurt, Greek, strawberry, lowfat",greek strawberry yogurt lowfat,Strawberries,strawberry,0.624,63223,n,1147
1285,"Yogurt, Greek, strawberry, nonfat",greek strawberry yogurt nonfat,Strawberries,strawberry,0.623,63223,n,1147
1286,"Yogurt, Greek, vanilla, nonfat",greek yogurt vanilla nonfat,Yogurt vanilla,vanilla yogurt,0.752,1142,n,1147
1287,"Yogurt, Greek, plain, lowfat",greek plain yogurt lowfat,Yogurt plain,plain yogurt,0.701,1141,n,1147
1289,"Kefir, lowfat, plain, LIFEWAY",lifeway plain kefir lowfat,Cheese cottage lowfat,cottage lowfat cheese,0.298,14204,n,1149
1290,"Kefir, lowfat, strawberry, LIFEWAY",strawberry kefir lowfat lifeway,Strawberries,strawberry,0.533,63223,n,1149
1292,"Milk, chocolate, fat free, with added vitamin A and vitamin D",vitamin added milk fat free chocolate,Milk or white chocolate,milk white chocolate,0.605,91705,n,1118
1293,"Yogurt, Greek, plain, whole milk",greek plain yogurt milk whole,Yogurt plain,plain yogurt,0.702,1141,n,1147
1294,"Yogurt, Greek, fruit, whole milk",greek fruit yogurt milk whole,Yogurt,yogurt,0.587,114,n,1147
1297,"Yogurt, Greek, vanilla, lowfat",greek yogurt vanilla lowfat,Yogurt vanilla,vanilla yogurt,0.748,1142,n,1147
1298,"Yogurt, frozen, flavors other than chocolate, lowfat",other yogurt flavor than lowfat chocolate frozen,Yogurt frozen flavored,flavored yogurt frozen,0.673,1146,,
1300,"Ice cream bar, covered with chocolate and nuts",covered cream ice bar nut chocolate,Pie chocolate cream,cream pie chocolate,0.682,53342,n,1312
1301,Ice cream sundae cone,ice cone sundae cream,Ice cream bar cone cake,cone cake cream ice bar,0.522,1312,n,1312
1302,"Light ice cream, Creamsicle",light creamsicle ice cream,Light ice cream,light ice cream,0.73,1313,n,1313
1305,"Milk, chocolate, lowfat, reduced sugar",reduced milk lowfat sugar chocolate,Milk or white chocolate,milk white chocolate,0.549,91705,n,1118
1306,"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",cone cream ice peanut added sauce lowfat sugar chocolate,Pie chocolate cream,cream pie chocolate,0.543,53342,n,1312
2003,"Spices, basil, dried",spice basil dried,Cake spice,spice cake,0.445,53117,n,4501
2005,"Spices, caraway seed",spice caraway seed,Cake spice,spice cake,0.463,53117,n,4502
2007,"Spices, celery seed",spice celery seed,Celery,celery,0.721,75603,n,4503
2009,"Spices, chili powder",spice powder chili,Cake spice,spice cake,0.453,53117,n,4504
2010,"Spices, cinnamon, ground",spice cinnamon ground,Bread cinnamon,cinnamon bread,0.673,51113,n,4505
2011,"Spices, cloves, ground",spice ground clove,Lamb ground,ground lamb,0.436,2313,n,4506
2012,"Spices, coriander leaf, dried",spice leaf coriander dried,Dried beans,bean dried,0.429,411,n,4507
2014,"Spices, cumin seed",spice cumin seed,Cake spice,spice cake,0.474,53117,n,4508
2015,"Spices, curry powder",spice powder curry,Cake spice,spice cake,0.433,53117,n,4509
2020,"Spices, garlic powder",spice powder garlic,Roll garlic,roll garlic,0.592,51156,n,4510
2021,"Spices, ginger, ground",ginger spice ground,Lamb ground,ground lamb,0.474,2313,n,4511
2023,"Spices, marjoram, dried",spice marjoram dried,Cake spice,spice cake,0.344,53117,n,4512
2024,"Spices, mustard seed, ground",spice ground mustard seed,Mustard greens,green mustard,0.586,72122,n,4513
2025,"Spices, nutmeg, ground",spice nutmeg ground,Lamb ground,ground lamb,0.44,2313,n,4514
2026,"Spices, onion powder",spice powder onion,Onions,onion,0.605,75415,n,4515
2027,"Spices, oregano, dried",spice oregano dried,Cake spice,spice cake,0.414,53117,n,4516
2028,"Spices, paprika",spice paprika,Cake spice,spice cake,0.411,53117,n,4517
2029,"Spices, parsley, dried",spice parsley dried,Onions palm hearts or parsley,palm parsley onion heart,0.556,75221,n,4518
2030,"Spices, pepper, black",spice pepper black,Peppers,pepper,0.715,75226,n,4519
2031,"Spices, pepper, red or cayenne",spice pepper cayenne red,Peppers,pepper,0.58,75226,n,4520
2034,"Spices, poultry seasoning",spice poultry seasoning,Poultry,poultry,0.583,24,n,4521
2035,"Spices, pumpkin pie spice",spice pie pumpkin,Pumpkin,pumpkin,0.79,43101,n,4522
2038,"Spices, sage, ground",spice ground sage,Lamb ground,ground lamb,0.525,2313,n,4523
2042,"Spices, thyme, dried",spice thyme dried,Cake spice,spice cake,0.392,53117,n,4524
2043,"Spices, turmeric, ground",spice ground turmeric,Lamb ground,ground lamb,0.428,2313,n,4525
2044,"Basil, fresh",fresh basil,Tuna fresh,fresh tuna,0.385,26153,n,790
2046,"Mustard, prepared, yellow",yellow prepared mustard,Mustard greens,green mustard,0.563,72122,n,842
2047,"Salt, table",table salt,Table fats,fat table,0.67,811,n,840
2048,"Vinegar, cider",vinegar cider,Vinegar,vinegar,0.802,644,n,841
2052,"Vanilla extract, imitation, no alcohol",vanilla alcohol imitation extract,Milk imitation,milk imitation,0.53,1134,n,919
2053,"Vinegar, distilled",vinegar distilled,Vinegar,vinegar,0.709,644,n,841
2054,"Capers, canned",caper canned,Carrots canned,canned carrot,0.451,73103,n,63118
2055,"Horseradish, prepared",prepared horseradish,Radish,radish,0.564,75227,n,843
3000,Clif Z bar,z clif bar,Bars,bar,0.432,537,,
3001,"Babyfood, juice treats, fruit medley, toddler",babyfood treat fruit toddler juice medley,Fruits and juices baby food,fruit baby juice,0.545,67,,
3002,"Babyfood, meat, beef, strained",meat babyfood strained beef,Beef baby food,beef baby,0.609,217,,
3003,"Babyfood, meat, beef, junior",junior meat babyfood beef,Beef baby food,beef baby,0.57,217,,
3005,"Babyfood, meat, veal, strained",meat veal babyfood strained,Lamb or veal baby food,baby veal lamb,0.492,234,,
3008,"Babyfood, meat, ham, strained",ham meat babyfood strained,Vegetables with meat baby food,meat baby vegetable,0.401,766,n,228
3010,"Babyfood, meat, lamb, strained",meat strained babyfood lamb,Lamb or veal baby food,baby veal lamb,0.566,234,,
3012,"Babyfood, meat, chicken, strained",meat chicken babyfood strained,Chicken,chicken,0.528,241,n,247
3013,"Babyfood, meat, chicken, junior",meat chicken babyfood junior,Chicken,chicken,0.501,241,n,247
3014,"Babyfood, meat, chicken sticks, junior",stick meat babyfood chicken junior,Chicken,chicken,0.555,241,n,247
3015,"Babyfood, meat, turkey, strained",meat turkey babyfood strained,Turkey,turkey,0.563,242,n,247
3016,"Babyfood, meat, turkey, junior",meat turkey babyfood junior,Turkey,turkey,0.538,242,n,247
3017,"Babyfood, meat, turkey sticks, junior",stick meat turkey babyfood junior,Turkey,turkey,0.508,242,n,247
3019,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",gerber babyfood graduate real fruit strip bar snack,Fruits with cereal baby food,fruit baby cereal,0.495,673,n,671
3021,"Babyfood, meat, meat sticks, junior",stick meat babyfood junior,Bread sticks,stick bread,0.398,51184,n,217
3023,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",puff finger gerber babyfood graduate apple cinnamon snack,Bread cinnamon,cinnamon bread,0.46,51113,n,673
3024,"Babyfoods, water, bottled, GERBER, without added fluoride.",water gerber babyfoods bottled without added fluoride,Water not bottled,water bottled,0.508,940,n,943
3026,"Babyfood, tropical fruit medley",fruit tropical medley babyfood,Fruit baby NFS,fruit baby,0.484,67100,,
3044,"Babyfood, dinner, macaroni and tomato and beef, strained",beef babyfood dinner strained macaroni tomato,Macaroni,macaroni,0.545,5610,n,585
3045,"Babyfood, dinner, macaroni and tomato and beef, junior",beef babyfood dinner junior macaroni tomato,Macaroni,macaroni,0.557,5610,n,585
3046,"Babyfood, ravioli, cheese filled, with tomato sauce",babyfood ravioli sauce filled tomato cheese,Ravioli,ravioli,0.554,58131,n,585
3047,"Babyfood, dinner, beef noodle, strained",beef babyfood strained dinner noodle,Noodles,noodle,0.571,5611,n,585
3048,"Babyfood, macaroni and cheese, toddler",toddler macaroni babyfood cheese,Macaroni or noodles with cheese,macaroni noodle cheese,0.72,58145,n,585
3050,"Babyfood, dinner, spaghetti and tomato and meat, junior",meat babyfood dinner junior tomato spaghetti,Spaghetti,spaghetti,0.591,5613,n,585
3052,"Babyfood, dinner, beef stew, toddler",beef babyfood toddler dinner stew,Beef baby food,beef baby,0.469,217,,
3053,"Babyfood, dinner, vegetables and beef, strained",beef babyfood strained dinner vegetable,Vegetables with grain baby food,baby grain vegetable,0.671,765,,
3054,"Babyfood, dinner, vegetables and beef, junior",beef babyfood dinner junior vegetable,Vegetables with meat baby food,meat baby vegetable,0.583,766,,
3055,"Babyfood, dinner, beef with vegetables",beef babyfood dinner vegetable,Vegetables with meat baby food,meat baby vegetable,0.672,766,,
3068,"Babyfood, dinner, chicken noodle, strained",babyfood chicken strained dinner noodle,Noodles,noodle,0.554,5611,n,585
3069,"Babyfood, dinner, chicken noodle, junior",babyfood chicken dinner junior noodle,Noodles,noodle,0.545,5611,n,585
3070,"Babyfood, dinner, chicken soup, strained",soup babyfood chicken strained dinner,Chicken,chicken,0.46,241,n,247
3072,"Babyfood, dinner, chicken stew, toddler",babyfood chicken toddler dinner stew,Chicken,chicken,0.422,241,n,247
3073,"Babyfood, dinner, vegetables chicken, strained",babyfood chicken strained dinner vegetable,Vegetables with grain baby food,baby grain vegetable,0.638,765,n,247
3077,"Babyfood, dinner, pasta with vegetables",pasta babyfood dinner vegetable,Vegetables with meat baby food,meat baby vegetable,0.668,766,n,585
3082,"Babyfood, dinner, turkey and rice, strained",turkey babyfood rice strained dinner,Turkey,turkey,0.491,242,n,247
3083,"Babyfood, dinner, turkey and rice, junior",turkey babyfood rice dinner junior,Turkey,turkey,0.481,242,n,247
3084,"Babyfood, dinner, vegetables and turkey, strained",turkey babyfood strained dinner vegetable,Vegetables with grain baby food,baby grain vegetable,0.636,765,n,247
3085,"Babyfood, dinner, vegetables and turkey, junior",turkey babyfood dinner junior vegetable,Vegetables with meat baby food,meat baby vegetable,0.55,766,n,247
3089,"Babyfood, dinner, macaroni and cheese, strained",babyfood strained dinner macaroni cheese,Macaroni or noodles with cheese,macaroni noodle cheese,0.621,58145,n,585
3090,"Babyfood, dinner, macaroni and cheese, junior",babyfood dinner junior macaroni cheese,Macaroni or noodles with cheese,macaroni noodle cheese,0.617,58145,n,585
3091,"Babyfood, vegetables, green beans, strained",babyfood strained bean green vegetable,Vegetables with grain baby food,baby grain vegetable,0.728,765,n,76
3092,"Babyfood, vegetables, green beans, junior",babyfood bean junior green vegetable,Vegetables with grain baby food,baby grain vegetable,0.623,765,n,76
3093,"Babyfood, green beans, dices, toddler",babyfood toddler bean dice green,Beans string green,string bean green,0.399,75403,n,76
3096,"Babyfood, vegetable, green beans and potatoes",babyfood bean potato green vegetable,Beef with vegetable no potatoes,potato beef vegetable,0.73,2741,n,76
